     **************************************************
     *                PROGRAM  RRKM                   *
     *              E. Martinez-Nunez                 *
     *       Departamento de Quimica Fisica           *
     *  Universidad de Santiago de Compostela(Spain)  *
     **************************************************


   Direct via TS9 for process 1 7         -8.3235 150          


   Energia critica   =  66.47kcal/mol
   Energia rotacional=   0.00kcal/mol
   Energia mas alta  = 161.18kcal/mol


   Rotores libres del reactivo= 0       Rotores libres del TS= 0



   Teoria rrkm armonica cuantica


   Frecuencias vibracionales del reactivo
   ======================================
       frec    1      551  cm-1
       frec    2      593  cm-1
       frec    3      957  cm-1
       frec    4     1063  cm-1
       frec    5     1232  cm-1
       frec    6     1308  cm-1
       frec    7     1840  cm-1
       frec    8     2664  cm-1
       frec    9     2788  cm-1


   Energia del punto cero en el re=    18.58kcal/mol


   Frecuencias vibracionales del estado de transicion
   ==================================================
       frec    1      451  cm-1
       frec    2      587  cm-1
       frec    3      906  cm-1
       frec    4      998  cm-1
       frec    5     1346  cm-1
       frec    6     1947  cm-1
       frec    7     2103  cm-1
       frec    8     2635  cm-1


   Energia del punto cero en el TS=    15.69kcal/mol




     Energia      k(E,J)/s-1
        26060               138757756.
        26070               139342506.
        26080               137300359.
        26090               141272266.
        26100               148175808.
        26110               149603470.
        26120               149639896.
        26130               148986922.
        26140               148554763.
        26150               150112409.
        26160               151300310.
        26170               151373068.
        26180               150792956.
        26190               156178419.
        26200               158969122.
        26210               158214999.
        26220               157990155.
        26230               160778872.
        26240               166945090.
        26250               167254651.
        26260               170615486.
        26270               171097337.
        26280               168558448.
        26290               171049687.
        26300               170493815.
        26310               170691926.
        26320               170256689.
        26330               173009440.
        26340               174337094.
        26350               173299373.
        26360               177014721.
        26370               179219025.
        26380               181008318.
        26390               180843503.
        26400               184993164.
        26410               189569585.
        26420               195897521.
        26430               195237637.
        26440               196030033.
        26450               194669323.
        26460               196084071.
        26470               195821341.
        26480               196354959.
        26490               195314208.
        26500               200014786.
        26510               206018920.
        26520               205900245.
        26530               210303945.
        26540               211512840.
        26550               217833101.
        26560               222892756.
        26570               221055861.
        26580               221055861.
        26590               220529765.
        26600               225296904.
        26610               225455017.
        26620               225358172.
        26630               224875193.
        26640               229497207.
        26650               234663578.
        26660               232766702.
        26670               232371260.
        26680               236894478.
