     **************************************************
     *                PROGRAM  RRKM                   *
     *              E. Martinez-Nunez                 *
     *       Departamento de Quimica Fisica           *
     *  Universidad de Santiago de Compostela(Spain)  *
     **************************************************


   Direct via TS10 for process 1 3         -8.3235 150         


   Energia critica   =  68.34kcal/mol
   Energia rotacional=   0.00kcal/mol
   Energia mas alta  = 161.18kcal/mol


   Rotores libres del reactivo= 0       Rotores libres del TS= 0



   Teoria rrkm armonica cuantica


   Frecuencias vibracionales del reactivo
   ======================================
       frec    1      551  cm-1
       frec    2      593  cm-1
       frec    3      957  cm-1
       frec    4     1063  cm-1
       frec    5     1232  cm-1
       frec    6     1308  cm-1
       frec    7     1840  cm-1
       frec    8     2664  cm-1
       frec    9     2788  cm-1


   Energia del punto cero en el re=    18.58kcal/mol


   Frecuencias vibracionales del estado de transicion
   ==================================================
       frec    1      326  cm-1
       frec    2      473  cm-1
       frec    3      523  cm-1
       frec    4     1077  cm-1
       frec    5     1256  cm-1
       frec    6     1567  cm-1
       frec    7     2472  cm-1
       frec    8     2788  cm-1


   Energia del punto cero en el TS=    14.98kcal/mol




     Energia      k(E,J)/s-1
        26760               266003630.
        26770               266114096.
        26780               270541370.
        26790               274669317.
        26800               276611060.
        26810               278832368.
        26820               279403512.
        26830               281092027.
        26840               285268022.
        26850               288848150.
        26860               290588779.
        26870               292161261.
        26880               295866004.
        26890               301721777.
        26900               301591303.
        26910               308271997.
        26920               311035902.
        26930               311784775.
        26940               318672870.
        26950               319021050.
        26960               321098689.
        26970               326893173.
        26980               324837014.
        26990               330586750.
        27000               331860850.
        27010               335149792.
        27020               341537485.
        27030               340605153.
        27040               350495819.
        27050               353444844.
        27060               356341932.
        27070               362510897.
        27080               362302277.
        27090               367956503.
        27100               372161941.
        27110               374953938.
        27120               378379457.
        27130               377935268.
        27140               382197696.
        27150               384782399.
        27160               383263236.
        27170               391264794.
        27180               394461523.
        27190               394682510.
        27200               402253719.
        27210               402478735.
        27220               409261157.
        27230               416761943.
        27240               417148549.
        27250               422279377.
        27260               425823433.
        27270               426476000.
        27280               432970198.
        27290               432495797.
        27300               437251788.
        27310               439744096.
        27320               444466711.
        27330               449251814.
        27340               446824301.
        27350               453900931.
        27360               459027754.
        27370               466406890.
        27380               474386486.
        27390               470422019.
        27400               479239221.
        27410               485809032.
        27420               486483940.
        27430               493825969.
        27440               494189630.
        27450               499387733.
        27460               505693312.
        27470               504795116.
        27480               509670425.
        27490               512073051.
        27500               521704956.
        27510               526245045.
        27520               525812370.
        27530               535525430.
        27540               538831192.
        27550               546412834.
        27560               549863614.
        27570               554502514.
        27580               562235742.
        27590               566509603.
        27600               567631602.
        27610               573980949.
        27620               574277796.
        27630               579622345.
        27640               587380142.
        27650               588022106.
        27660               592382937.
        27670               601385672.
        27680               601924409.
        27690               612858034.
        27700               616469030.
        27710               622394376.
        27720               628784801.
        27730               628974696.
        27740               637147433.
        27750               640515616.
        27760               642861854.
        27770               652462767.
        27780               652248117.
        27790               665794469.
        27800               662334039.
        27810               669327367.
        27820               678155705.
        27830               675226057.
        27840               689436924.
        27850               693849319.
        27860               694357772.
        27870               705095263.
        27880               706986303.
        27890               715312705.
        27900               724115089.
        27910               724841749.
        27920               730422396.
        27930               733171167.
        27940               740209610.
        27950               749009493.
        27960               751112286.
        27970               758905008.
        27980               765363995.
        27990               772596705.
        28000               778422685.
        28010               783139153.
        28020               795109251.
        28030               803216447.
        28040               803584127.
        28050               813208699.
        28060               813509428.
        28070               819882299.
        28080               834527965.
        28090               830489191.
        28100               843317151.
        28110               850830847.
        28120               854331810.
        28130               861635119.
        28140               864522270.
        28150               877130743.
        28160               887847013.
        28170               888343032.
        28180               896667860.
        28190               898576485.
        28200               906651960.
        28210               916088411.
        28220               919273388.
        28230               929021908.
        28240               929067497.
        28250               937391747.
        28260               944581917.
        28270               947552155.
        28280               963100117.
        28290               965848553.
        28300               974622170.
        28310               986890166.
        28320               988132333.
        28330               994040792.
        28340              1008130789.
        28350              1012835488.
        28360              1021482477.
        28370              1029278759.
        28380              1029170301.
        28390              1040060214.
        28400              1040735307.
        28410              1050737214.
        28420              1057222992.
        28430              1066345929.
        28440              1078579134.
        28450              1080205057.
        28460              1087248879.
        28470              1103575166.
        28480              1108840659.
        28490              1125250529.
        28500              1123031577.
        28510              1132834735.
        28520              1145775635.
        28530              1139888812.
        28540              1160026175.
        28550              1163227253.
        28560              1168266393.
        28570              1184561906.
        28580              1180675866.
        28590              1196295958.
        28600              1204031461.
        28610              1215204536.
        28620              1225452742.
        28630              1230454590.
        28640              1246300945.
        28650              1254928804.
        28660              1253753333.
        28670              1273407125.
        28680              1274298261.
        28690              1288657528.
        28700              1292776529.
        28710              1292877025.
        28720              1307011004.
        28730              1313023427.
        28740              1323981670.
        28750              1337067556.
        28760              1338524800.
        28770              1352846378.
        28780              1365670525.
        28790              1367756857.
        28800              1382381275.
        28810              1395942833.
        28820              1397701471.
        28830              1414755772.
        28840              1415562226.
        28850              1429973029.
        28860              1437651929.
        28870              1445412967.
        28880              1457946100.
        28890              1458883863.
        28900              1471348399.
        28910              1478210255.
        28920              1487932068.
        28930              1506049868.
        28940              1509563543.
        28950              1525886662.
        28960              1542576591.
        28970              1539326543.
        28980              1558025858.
        28990              1559536120.
        29000              1572783948.
        29010              1590632918.
        29020              1588555237.
        29030              1604264993.
        29040              1609718392.
        29050              1625185304.
        29060              1638037575.
        29070              1647182051.
        29080              1660485210.
        29090              1670401574.
        29100              1680389052.
        29110              1687304001.
        29120              1700148443.
        29130              1713242851.
        29140              1730453130.
        29150              1731745853.
        29160              1752830325.
        29170              1754752166.
        29180              1764667001.
        29190              1778568686.
        29200              1782757574.
        29210              1800390015.
        29220              1816144522.
        29230              1813306604.
        29240              1831206848.
        29250              1840059079.
        29260              1855987375.
        29270              1879747564.
        29280              1876703909.
        29290              1899064702.
        29300              1901325285.
        29310              1911486368.
        29320              1931685439.
        29330              1932843545.
        29340              1958530631.
        29350              1958840807.
        29360              1974045920.
        29370              1990389137.
        29380              1989300348.
        29390              2014713779.
        29400              2020365406.
        29410              2034665235.
        29420              2059011649.
        29430              2056669178.
        29440              2065950791.
        29450              2088515735.
        29460              2089911320.
        29470              2112724628.
        29480              2115783537.
        29490              2134669327.
        29500              2142763510.
        29510              2158106585.
        29520              2170932309.
        29530              2189300033.
        29540              2201710466.
        29550              2219230282.
        29560              2224301023.
        29570              2237713508.
        29580              2260506034.
        29590              2268439231.
        29600              2284150567.
        29610              2294512949.
        29620              2309889382.
        29630              2335720438.
        29640              2325662007.
        29650              2356270798.
        29660              2364935015.
        29670              2373869445.
        29680              2394107645.
        29690              2402129234.
        29700              2413052952.
        29710              2439519878.
        29720              2442912724.
        29730              2469442259.
        29740              2476782071.
        29750              2495670393.
        29760              2508298777.
        29770              2508001102.
        29780              2538563191.
        29790              2546058822.
        29800              2566344035.
        29810              2576159749.
        29820              2583929699.
        29830              2609064018.
        29840              2619869639.
        29850              2637399702.
        29860              2659067677.
        29870              2665747032.
        29880              2681538665.
        29890              2705421455.
        29900              2706319600.
        29910              2731416937.
        29920              2750401379.
        29930              2760016210.
        29940              2780185762.
        29950              2786887647.
        29960              2800292029.
        29970              2813207953.
        29980              2835878440.
        29990              2854800244.
        30000              2870165019.
        30010              2880637515.
        30020              2904451128.
        30030              2906312920.
        30040              2941049704.
        30050              2946054694.
        30060              2970977660.
        30070              2992559846.
        30080              2989280502.
        30090              3023245249.
        30100              3026706056.
        30110              3051037588.
        30120              3080601554.
        30130              3075599426.
        30140              3099885928.
        30150              3118147546.
        30160              3131613742.
        30170              3147535258.
        30180              3162218951.
        30190              3194133740.
        30200              3211442549.
        30210              3224151534.
        30220              3244963314.
        30230              3246597951.
        30240              3279875194.
        30250              3294236545.
        30260              3304562079.
        30270              3331161933.
        30280              3336740465.
        30290              3360602086.
        30300              3375793934.
        30310              3396184955.
        30320              3418642551.
        30330              3449440892.
        30340              3445066468.
        30350              3476975648.
        30360              3491865578.
        30370              3502411129.
        30380              3533691200.
        30390              3547955162.
        30400              3570184128.
        30410              3590348658.
        30420              3598771502.
        30430              3623104713.
        30440              3635542118.
        30450              3664257040.
        30460              3678190780.
        30470              3692193251.
        30480              3717389571.
        30490              3728636034.
        30500              3750662446.
        30510              3787396800.
        30520              3785882759.
        30530              3834441609.
        30540              3822974511.
        30550              3856884907.
        30560              3882191796.
        30570              3892672062.
        30580              3921403614.
        30590              3942070535.
        30600              3955001138.
        30610              3977849735.
        30620              3994007207.
        30630              4018222079.
        30640              4045008371.
        30650              4066148033.
        30660              4081717712.
        30670              4097891136.
        30680              4125439184.
        30690              4154791127.
        30700              4164669638.
        30710              4193479243.
        30720              4205405078.
        30730              4230686158.
        30740              4248238610.
        30750              4259026864.
        30760              4287151604.
        30770              4323213426.
        30780              4333743555.
        30790              4365573345.
        30800              4376669208.
        30810              4392513896.
        30820              4435166430.
        30830              4434521866.
        30840              4476610175.
        30850              4492720605.
        30860              4517519825.
        30870              4535224703.
        30880              4550071500.
        30890              4591248438.
        30900              4607346099.
        30910              4633885172.
        30920              4657904992.
        30930              4664342232.
        30940              4695647348.
        30950              4710522287.
        30960              4732100802.
        30970              4772419171.
        30980              4788291704.
        30990              4815154221.
        31000              4842139239.
        31010              4847345463.
        31020              4885648467.
        31030              4898087017.
        31040              4931415292.
        31050              4953814023.
        31060              4984068010.
        31070              4984553707.
        31080              5024500507.
        31090              5049917239.
        31100              5081678268.
        31110              5106085269.
        31120              5124132825.
        31130              5159571208.
        31140              5169772332.
        31150              5206633893.
        31160              5224713258.
        31170              5254926782.
        31180              5294235232.
        31190              5296484497.
        31200              5323909255.
        31210              5352762509.
        31220              5364310431.
        31230              5412358420.
        31240              5419509661.
        31250              5450183024.
        31260              5494638063.
        31270              5491018948.
        31280              5531417736.
        31290              5551639710.
        31300              5585995040.
        31310              5617495170.
        31320              5622312556.
        31330              5669950855.
        31340              5675867819.
        31350              5727362168.
        31360              5742539891.
        31370              5772084194.
        31380              5805209325.
        31390              5830651342.
        31400              5841757511.
        31410              5883890100.
        31420              5894357108.
        31430              5939880024.
        31440              5965158628.
        31450              5981587283.
        31460              6021867198.
        31470              6057101528.
        31480              6065904380.
        31490              6107772405.
        31500              6127795168.
        31510              6151800060.
        31520              6182051356.
        31530              6205233224.
        31540              6228534218.
        31550              6270212360.
        31560              6287298678.
        31570              6342651988.
        31580              6346368533.
        31590              6399115501.
        31600              6403302759.
        31610              6444477367.
        31620              6483971472.
        31630              6499450433.
        31640              6548462327.
        31650              6557730593.
        31660              6585552361.
        31670              6638823245.
        31680              6641469727.
        31690              6681856375.
        31700              6723323389.
        31710              6733189821.
        31720              6773185196.
        31730              6790197154.
        31740              6827595234.
        31750              6864058315.
        31760              6895367994.
        31770              6930823945.
        31780              6946298308.
        31790              6991630576.
        31800              7008565502.
        31810              7040225079.
        31820              7085072714.
        31830              7119264658.
        31840              7152235539.
        31850              7167351404.
        31860              7197883242.
        31870              7228251314.
        31880              7282505185.
        31890              7285877572.
        31900              7347182338.
        31910              7361245908.
        31920              7391649901.
        31930              7441573389.
        31940              7457615958.
        31950              7495731099.
        31960              7549208024.
        31970              7555635777.
        31980              7595164514.
        31990              7618901942.
        32000              7650820749.
        32010              7685201222.
        32020              7709907093.
        32030              7775425727.
        32040              7782393505.
        32050              7825732501.
        32060              7863957792.
        32070              7874897617.
        32080              7944107984.
        32090              7949336776.
        32100              8003664354.
        32110              8038954333.
        32120              8056957915.
        32130              8107968870.
        32140              8133979666.
        32150              8166624571.
        32160              8222882301.
        32170              8250145045.
        32180              8267401892.
        32190              8312613215.
        32200              8339095502.
        32210              8378543051.
        32220              8402523277.
        32230              8464813969.
        32240              8486677045.
        32250              8524971503.
        32260              8553797678.
        32270              8591619278.
        32280              8625834455.
        32290              8676619095.
        32300              8694916060.
        32310              8731483858.
        32320              8779026269.
        32330              8798902261.
        32340              8853018373.
        32350              8884231152.
        32360              8918832438.
        32370              8986740157.
        32380              8971942753.
        32390              9043623424.
        32400              9070908899.
        32410              9123933278.
        32420              9153293556.
        32430              9190850193.
        32440              9221123837.
        32450              9264800882.
        32460              9294257679.
        32470              9346427897.
        32480              9359634170.
        32490              9432878093.
        32500              9446701379.
        32510              9477709058.
        32520              9541868040.
        32530              9562438409.
        32540              9617690355.
        32550              9655423044.
        32560              9678941786.
        32570              9730466505.
        32580              9757961402.
        32590              9798195505.
        32600              9845022955.
        32610              9896609679.
        32620              9920913221.
        32630              9985910094.
        32640              9999559000.
        32650             10048347940.
        32660             10090998801.
        32670             10126722291.
        32680             10174957187.
        32690             10211276709.
        32700             10256801789.
        32710             10283281366.
        32720             10337258627.
        32730             10394767258.
        32740             10412897969.
        32750             10463971232.
        32760             10511408343.
        32770             10518213041.
        32780             10593914454.
        32790             10593117709.
        32800             10659925820.
        32810             10726044148.
        32820             10739570576.
        32830             10808613181.
        32840             10824933272.
        32850             10876116809.
        32860             10932527954.
        32870             10958420309.
        32880             11020387658.
        32890             11046214320.
        32900             11112277865.
        32910             11125422880.
        32920             11174448559.
        32930             11236060735.
        32940             11279415444.
        32950             11317336039.
        32960             11370093817.
        32970             11384419727.
        32980             11456751040.
        32990             11487508635.
        33000             11530235037.
        33010             11594600491.
        33020             11639225977.
        33030             11670074079.
        33040             11713597310.
        33050             11761387806.
        33060             11793862813.
        33070             11875479158.
        33080             11886547431.
        33090             11949884971.
        33100             12000066330.
        33110             12028487336.
        33120             12084875696.
        33130             12119842697.
        33140             12188272429.
        33150             12218246031.
        33160             12270336277.
        33170             12321623018.
        33180             12354424890.
        33190             12436428136.
        33200             12461782404.
        33210             12512695539.
        33220             12574692700.
        33230             12594035704.
        33240             12643022402.
        33250             12702935808.
        33260             12718073449.
        33270             12810902778.
        33280             12815923368.
        33290             12890798064.
        33300             12933199550.
        33310             12997414234.
        33320             13025509009.
        33330             13081179481.
        33340             13140977668.
        33350             13176357037.
        33360             13221109247.
        33370             13274827760.
        33380             13321566840.
        33390             13391881055.
        33400             13436754253.
        33410             13485519570.
        33420             13529407137.
        33430             13598920792.
        33440             13612601004.
        33450             13687574900.
        33460             13722136098.
        33470             13789064851.
        33480             13844523248.
        33490             13878032959.
        33500             13923199017.
        33510             14011685612.
        33520             14020494740.
        33530             14105835658.
        33540             14145438479.
        33550             14193688373.
        33560             14246903307.
        33570             14280181982.
        33580             14354102082.
        33590             14382939452.
        33600             14478164049.
        33610             14509910976.
        33620             14542766501.
        33630             14627707329.
        33640             14646426793.
        33650             14728661216.
        33660             14791932486.
        33670             14834518039.
        33680             14902039781.
        33690             14937009166.
        33700             14979123805.
        33710             15058663567.
        33720             15094678267.
        33730             15150536118.
        33740             15216308491.
        33750             15257826368.
        33760             15308040669.
        33770             15361874680.
        33780             15433287492.
        33790             15472550211.
        33800             15563671310.
        33810             15575579687.
        33820             15642526011.
        33830             15688726820.
        33840             15760308950.
        33850             15797774901.
        33860             15865955422.
        33870             15950730851.
        33880             15975120243.
        33890             16056011514.
        33900             16083035889.
        33910             16147732505.
        33920             16232390620.
        33930             16252672344.
        33940             16331549917.
        33950             16392228572.
        33960             16432433951.
        33970             16511096952.
        33980             16551795508.
        33990             16614920907.
        34000             16703008263.
        34010             16740182369.
        34020             16795077220.
        34030             16825280119.
        34040             16918990081.
        34050             16953280620.
        34060             17014322972.
        34070             17105865949.
        34080             17132279080.
        34090             17222565146.
        34100             17247819493.
        34110             17323405326.
        34120             17388098752.
        34130             17466591119.
        34140             17498155711.
        34150             17577712568.
        34160             17621799095.
        34170             17680987235.
        34180             17760818201.
        34190             17808956462.
        34200             17875580500.
        34210             17955273314.
        34220             17972375414.
        34230             18053505545.
        34240             18121468271.
        34250             18187382256.
