     **************************************************
     *                PROGRAM  RRKM                   *
     *              E. Martinez-Nunez                 *
     *       Departamento de Quimica Fisica           *
     *  Universidad de Santiago de Compostela(Spain)  *
     **************************************************


   Reverse via TS10 for process 3 1          5.2856 150        


   Energia critica   =  54.73kcal/mol
   Energia rotacional=   0.00kcal/mol
   Energia mas alta  = 161.18kcal/mol


   Rotores libres del reactivo= 0       Rotores libres del TS= 0



   Teoria rrkm armonica cuantica


   Frecuencias vibracionales del reactivo
   ======================================
       frec    1      467  cm-1
       frec    2      523  cm-1
       frec    3      591  cm-1
       frec    4      818  cm-1
       frec    5      847  cm-1
       frec    6     1242  cm-1
       frec    7     1340  cm-1
       frec    8     2737  cm-1
       frec    9     2763  cm-1


   Energia del punto cero en el re=    16.19kcal/mol


   Frecuencias vibracionales del estado de transicion
   ==================================================
       frec    1      326  cm-1
       frec    2      473  cm-1
       frec    3      523  cm-1
       frec    4     1077  cm-1
       frec    5     1256  cm-1
       frec    6     1567  cm-1
       frec    7     2472  cm-1
       frec    8     2788  cm-1


   Energia del punto cero en el TS=    14.98kcal/mol




     Energia      k(E,J)/s-1
        22000               271411310.
        22010               265342486.
        22020               276311845.
        22030               280207422.
        22040               274896224.
        22050               283600308.
        22060               284309641.
        22070               280891355.
        22080               289316280.
        22090               291462945.
        22100               291058697.
        22110               295760151.
        22120               299530661.
        22130               301221259.
        22140               305489896.
        22150               309357917.
        22160               311252946.
        22170               315156208.
        22180               318656722.
        22190               319052314.
        22200               325061357.
        22210               325264589.
        22220               324725242.
        22230               334239398.
        22240               330904241.
        22250               334414802.
        22260               342558858.
        22270               340026984.
        22280               346979696.
        22290               354712791.
        22300               354372460.
        22310               363382373.
        22320               362649747.
        22330               363408284.
        22340               371859735.
        22350               371694026.
        22360               373821152.
        22370               378167884.
        22380               380053881.
        22390               380579690.
        22400               383749845.
        22410               387467137.
        22420               389032597.
        22430               394682115.
        22440               399720610.
        22450               396035282.
        22460               406298781.
        22470               412196422.
        22480               409773726.
        22490               419978391.
        22500               419554076.
        22510               423962573.
        22520               429514801.
        22530               424092509.
        22540               431838607.
        22550               435007559.
        22560               434710122.
        22570               442736990.
        22580               444223482.
        22590               442029111.
        22600               453745515.
        22610               461359273.
        22620               460874626.
