     **************************************************
     *                PROGRAM  RRKM                   *
     *              E. Martinez-Nunez                 *
     *       Departamento de Quimica Fisica           *
     *  Universidad de Santiago de Compostela(Spain)  *
     **************************************************


   Direct via TS8 for process 1 3         -8.3235 150          


   Energia critica   =  61.49kcal/mol
   Energia rotacional=   0.00kcal/mol
   Energia mas alta  = 161.18kcal/mol


   Rotores libres del reactivo= 0       Rotores libres del TS= 0



   Teoria rrkm armonica cuantica


   Frecuencias vibracionales del reactivo
   ======================================
       frec    1      551  cm-1
       frec    2      593  cm-1
       frec    3      957  cm-1
       frec    4     1063  cm-1
       frec    5     1232  cm-1
       frec    6     1308  cm-1
       frec    7     1840  cm-1
       frec    8     2664  cm-1
       frec    9     2788  cm-1


   Energia del punto cero en el re=    18.58kcal/mol


   Frecuencias vibracionales del estado de transicion
   ==================================================
       frec    1      355  cm-1
       frec    2      496  cm-1
       frec    3      642  cm-1
       frec    4     1064  cm-1
       frec    5     1342  cm-1
       frec    6     1552  cm-1
       frec    7     2463  cm-1
       frec    8     2757  cm-1


   Energia del punto cero en el TS=    15.25kcal/mol




     Energia      k(E,J)/s-1
        24380               379123834.
        24390               379267008.
        24400               380128326.
        24410               385718762.
        24420               399796089.
        24430               406495942.
        24440               402795217.
        24450               403842994.
        24460               403543073.
        24470               405122645.
        24480               412351599.
        24490               428351469.
        24500               437125689.
        24510               431392893.
        24520               434399667.
        24530               428427457.
        24540               430921940.
        24550               436853563.
        24560               448659085.
        24570               459967769.
        24580               459356806.
        24590               459521509.
        24600               461175059.
        24610               458207182.
        24620               468590412.
        24630               489836684.
        24640               499297151.
        24650               495434796.
        24660               495086634.
        24670               495783448.
        24680               494391775.
        24690               500002141.
        24700               512373461.
        24710               527727400.
        24720               532543665.
        24730               525767835.
        24740               527218229.
        24750               525406482.
        24760               528345128.
        24770               542839431.
        24780               555923657.
        24790               561788472.
        24800               558931921.
        24810               562747156.
        24820               555729412.
        24830               559197817.
        24840               575743705.
        24850               587285995.
        24860               593471513.
        24870               592086746.
        24880               591495251.
        24890               591495251.
        24900               590842997.
        24910               603141036.
        24920               619626813.
        24930               629708757.
        24940               626406450.
        24950               623952360.
        24960               625586278.
        24970               626994288.
        24980               646017024.
        24990               669435672.
        25000               670165894.
        25010               676256334.
        25020               663972519.
        25030               668445866.
        25040               667897932.
        25050               681995258.
        25060               702486259.
        25070               713446645.
        25080               712656317.
        25090               707721335.
        25100               710404638.
        25110               707097850.
        25120               719029395.
        25130               745713042.
        25140               749942697.
        25150               749709002.
        25160               750173649.
        25170               748318506.
        25180               750171497.
        25190               762843948.
        25200               788195257.
        25210               793267070.
        25220               791443950.
        25230               789282191.
        25240               784757037.
        25250               791443950.
        25260               796262966.
        25270               826946315.
        25280               837253467.
        25290               835489783.
        25300               837241334.
        25310               829047691.
        25320               834235189.
        25330               848799802.
        25340               874426698.
        25350               886265223.
        25360               889769806.
        25370               891866465.
        25380               884312690.
        25390               888317653.
        25400               898758486.
        25410               916172393.
        25420               938206625.
        25430               932538779.
        25440               931468126.
        25450               934149381.
        25460               931747270.
        25470               944392633.
        25480               965202967.
        25490               985759909.
        25500               987105531.
        25510               982920516.
        25520               980702985.
        25530               981985786.
        25540              1001428700.
        25550              1007787694.
        25560              1033544360.
        25570              1042277277.
        25580              1037929625.
        25590              1036488456.
        25600              1036488456.
        25610              1044624874.
        25620              1065078703.
        25630              1090110742.
        25640              1093499074.
        25650              1093499074.
        25660              1096194635.
        25670              1093455517.
        25680              1100317502.
        25690              1126651343.
        25700              1152265230.
        25710              1160819582.
        25720              1151654767.
        25730              1155050158.
        25740              1157843132.
        25750              1154572638.
        25760              1178347550.
        25770              1206397439.
        25780              1218645453.
        25790              1211375268.
        25800              1214567298.
        25810              1210799283.
        25820              1211986630.
        25830              1241911554.
        25840              1261765250.
        25850              1275746791.
        25860              1278645337.
        25870              1278977452.
        25880              1270038105.
        25890              1274803966.
        25900              1299093282.
        25910              1325200956.
        25920              1335965942.
        25930              1339580067.
        25940              1335493905.
        25950              1336853187.
        25960              1336188603.
        25970              1358036221.
        25980              1391912677.
        25990              1401399849.
        26000              1410093427.
        26010              1400367888.
        26020              1398055507.
        26030              1409352565.
        26040              1425806922.
        26050              1465198579.
        26060              1483782939.
        26070              1493751667.
        26080              1471859850.
        26090              1475102625.
        26100              1478099414.
