     **************************************************
     *                PROGRAM  RRKM                   *
     *              E. Martinez-Nunez                 *
     *       Departamento de Quimica Fisica           *
     *  Universidad de Santiago de Compostela(Spain)  *
     **************************************************


   Reverse via TS8 for process 3 1          5.2856 150         


   Energia critica   =  47.88kcal/mol
   Energia rotacional=   0.00kcal/mol
   Energia mas alta  = 161.18kcal/mol


   Rotores libres del reactivo= 0       Rotores libres del TS= 0



   Teoria rrkm armonica cuantica


   Frecuencias vibracionales del reactivo
   ======================================
       frec    1      467  cm-1
       frec    2      523  cm-1
       frec    3      591  cm-1
       frec    4      818  cm-1
       frec    5      847  cm-1
       frec    6     1242  cm-1
       frec    7     1340  cm-1
       frec    8     2737  cm-1
       frec    9     2763  cm-1


   Energia del punto cero en el re=    16.19kcal/mol


   Frecuencias vibracionales del estado de transicion
   ==================================================
       frec    1      355  cm-1
       frec    2      496  cm-1
       frec    3      642  cm-1
       frec    4     1064  cm-1
       frec    5     1342  cm-1
       frec    6     1552  cm-1
       frec    7     2463  cm-1
       frec    8     2757  cm-1


   Energia del punto cero en el TS=    15.25kcal/mol




     Energia      k(E,J)/s-1
        19620               435467982.
        19630               438749687.
        19640               441643814.
        19650               439359143.
        19660               461016298.
        19670               467357648.
        19680               458975994.
        19690               469992608.
        19700               467415230.
        19710               456216456.
        19720               474788526.
        19730               494703726.
        19740               489125282.
        19750               503314125.
        19760               500125566.
        19770               485664845.
        19780               495262362.
        19790               500432689.
        19800               506670902.
        19810               528237747.
        19820               527897933.
        19830               521295183.
        19840               526921248.
        19850               516567596.
        19860               528491287.
        19870               562683628.
        19880               563831593.
        19890               561472465.
        19900               572770387.
        19910               554512063.
        19920               556812942.
        19930               575529827.
        19940               573873715.
        19950               593673426.
        19960               609986569.
        19970               593817394.
        19980               590377965.
        19990               602772062.
        20000               591729673.
        20010               611405262.
        20020               632910321.
        20030               629751749.
        20040               629571408.
        20050               630835970.
        20060               623147210.
        20070               630987535.
        20080               645075730.
        20090               654138882.
        20100               671489826.
        20110               667891883.
        20120               656414805.
        20130               664705197.
        20140               662305105.
        20150               669677485.
        20160               695383096.
        20170               703344988.
        20180               695095169.
        20190               700060135.
        20200               693581625.
        20210               701359613.
        20220               720168534.
        20230               742415131.
        20240               751232623.
        20250               748802760.
        20260               738845277.
        20270               743392625.
        20280               746543295.
        20290               745747407.
        20300               787731695.
        20310               792129258.
        20320               780704317.
        20330               786645126.
        20340               786026370.
        20350               778408720.
        20360               800588644.
        20370               818126507.
        20380               826547884.
        20390               835337455.
        20400               821517925.
        20410               821727069.
        20420               834253270.
        20430               832541669.
        20440               860859249.
        20450               884744954.
        20460               862795793.
        20470               861081771.
        20480               881213798.
        20490               857674077.
        20500               872817025.
        20510               915544312.
        20520               908233979.
        20530               908234574.
        20540               930685316.
        20550               905366697.
        20560               907575859.
        20570               936538721.
        20580               945090737.
        20590               973220190.
        20600               980135509.
        20610               959405457.
        20620               971877266.
        20630               973111608.
        20640               957274826.
        20650              1004790882.
        20660              1024985620.
        20670              1001846632.
        20680              1027053312.
        20690              1025349670.
        20700               992441332.
        20710              1024324990.
        20720              1054974223.
        20730              1049380417.
        20740              1077814756.
        20750              1072083024.
        20760              1046436262.
        20770              1067482677.
        20780              1075573625.
        20790              1084391455.
        20800              1124271228.
        20810              1120838198.
        20820              1110335028.
        20830              1126929709.
        20840              1105156917.
        20850              1112542454.
        20860              1161350422.
        20870              1164897547.
        20880              1167673993.
        20890              1188478874.
        20900              1164107798.
        20910              1160465197.
        20920              1194481055.
        20930              1199421165.
        20940              1228420175.
        20950              1247225648.
        20960              1232250434.
        20970              1234898726.
        20980              1241033212.
        20990              1226915505.
        21000              1261399405.
        21010              1289764036.
        21020              1282604345.
        21030              1303436772.
        21040              1297931232.
        21050              1276056674.
        21060              1304900897.
        21070              1318609918.
        21080              1330625133.
        21090              1366191816.
